skill_id,strand,unit,name_en,name_zh,form,foundation,prerequisites,guide_ref
dh.present.bar-pie,dh,Presentation of data,Construct and read bar charts and pie charts,製作及閱讀棒形圖與圓形圖,F1,F,,KS3-29.6
dh.present.stem-leaf,dh,Presentation of data,Construct and read a stem-and-leaf diagram,幹葉圖,F1,F,,KS3-29.1;KS3-29.2
dh.present.histogram,dh,Presentation of data,Construct and read a histogram,組織圖,F2,F,dh.collect.class-mark,KS3-29.1;KS3-29.2
dh.present.frequency-polygon,dh,Presentation of data,Frequency polygon and frequency curve,頻數多邊形及頻數曲線,F2,F,dh.present.histogram,KS3-29.4;KS3-29.5
dh.present.cumulative,dh,Presentation of data,Cumulative frequency polygon / curve and reading from it,累積頻數多邊形及曲線,F3,F,dh.present.frequency-polygon,KS3-29.4;KS3-29.5
dh.present.broken-line,dh,Presentation of data,Broken line graphs and scatter diagrams,折線圖及散點圖,F1,F,,KS3-29.3;KS3-29.6
dh.present.choose,dh,Presentation of data,Choose a suitable diagram for a set of data,選擇合適的統計圖,F2,F,dh.present.bar-pie;dh.present.histogram,KS3-29.6
dh.present.misleading,dh,Presentation of data,Spot a misleading statistical diagram,識別誤導的統計圖,F2,F,dh.present.bar-pie,KS3-29.7
dh.central.mean,dh,Measures of central tendency,Mean of ungrouped data,平均數(未分組),F3,F,,KS3-30.1;KS3-30.2
dh.central.median,dh,Measures of central tendency,Median of ungrouped data (odd / even n),中位數(未分組),F3,F,,KS3-30.2
dh.central.mode,dh,Measures of central tendency,Mode and modal class,眾數及眾數組,F3,F,,KS3-30.2;KS3-30.3
dh.central.grouped-mean,dh,Measures of central tendency,Mean of grouped data using class marks,分組數據的平均數,F3,F,dh.central.mean;dh.collect.class-mark,KS3-30.3
dh.central.grouped-median,dh,Measures of central tendency,Median of grouped data from a cumulative frequency curve,由累積頻數曲線求中位數,F3,F,dh.present.cumulative,KS3-30.3;KS3-29.5
dh.central.weighted-mean,dh,Measures of central tendency,Weighted mean,加權平均數,F3,F,dh.central.mean,KS3-30.6;KS3-30.7
dh.central.compare,dh,Measures of central tendency,Choose and compare mean / median / mode for a data set,比較及選擇集中趨勢量度,F3,F,dh.central.mean;dh.central.median;dh.central.mode,KS3-30.1;KS3-30.4
dh.central.effect-change,dh,Measures of central tendency,Effect on mean / median / mode of adding / removing / scaling data,數據改變對平均數、中位數、眾數的影響,F3,N,dh.central.compare,KS3-30.5
dh.central.unknown-datum,dh,Measures of central tendency,Find an unknown datum from a given mean / median,由已知平均數或中位數求未知數據,F3,F,dh.central.mean;na.lineq.solve,KS3-30.2
dh.prob.definition,dh,Probability,Theoretical probability = favourable / total (equally likely outcomes),機率的定義,F2,F,,KS3-31.1;KS3-31.2
dh.prob.listing,dh,Probability,List outcomes by a table or a tree diagram,以表或樹形圖列出結果,F2,F,dh.prob.definition,KS3-31.3;KS3-31.4
dh.prob.experimental,dh,Probability,Experimental probability and relative frequency,實驗機率與相對頻數,F2,F,dh.prob.definition,KS3-31.2
dh.prob.expected-value,dh,Probability,Expected value of a discrete outcome,期望值,F3,N,dh.prob.definition,KS3-31.5;KS3-31.6
dh.prob.geometric,dh,Introduction to probability,Probability from areas / lengths (geometric probability),幾何機率,F3,,dh.prob.definition;ms.mensur.circle,ext
#
# ========================= COMPULSORY PART (F4-F6) ==============================
# --- Number and Algebra ---------------------------------------------------------
na.quad.solve-factor,na,Quadratic equations in one unknown,Solve a quadratic equation by factorisation,以因式分解法解二次方程,F4,F,na.factor.complete,CP-1.1
na.quad.solve-formula,na,Quadratic equations in one unknown,Solve by the quadratic formula,以二次公式解方程,F4,F,na.rational.surd-simplify,CP-1.4
na.quad.solve-graph,na,Quadratic equations in one unknown,Solve graphically from y = ax² + bx + c,以圖解法解二次方程,F4,F,na.func.quadratic-graph,CP-1.3
na.quad.complete-square,na,Functions and graphs,Solve by completing the square,配方法解方程,F4,N,na.identity.perfect-square,CP-2.4
na.quad.discriminant,na,Quadratic equations in one unknown,Use the discriminant to find the nature of roots,以判別式判斷根的性質,F4,F,na.quad.solve-formula,CP-1.5
na.quad.discriminant-condition,na,Quadratic equations in one unknown,Find a parameter from a condition on the roots (real / equal / no real roots),由根的條件求未知係數,F4,F,na.quad.discriminant;na.lineineq.solve,CP-1.5
na.quad.form-from-roots,na,Quadratic equations in one unknown,Form a quadratic equation from given roots,由根建立二次方程,F4,F,na.identity.expand,CP-1.2
na.quad.sum-product,na,Quadratic equations in one unknown,Sum and product of roots (α + β = −b/a and αβ = c/a),根的和與積,F4,N,na.quad.form-from-roots,CP-1.7
na.quad.symmetric-functions,na,Quadratic equations in one unknown,Evaluate symmetric functions of roots (α² + β² etc.),以根的和與積求對稱式的值,F4,N,na.quad.sum-product;na.identity.perfect-square,CP-1.7
na.quad.equation-with-new-roots,na,Quadratic equations in one unknown,Form an equation whose roots are functions of α and β,建立以 α、β 的函數為根的方程,F4,N,na.quad.symmetric-functions,CP-1.7
na.quad.word,na,Quadratic equations in one unknown,Set up and solve a quadratic equation from a word problem and reject invalid roots,列二次方程解應用題並剔除不合理根,F4,F,na.quad.solve-factor;na.algexp.translate,CP-1.6
na.quad.complex-basic,na,Quadratic equations in one unknown,Write and simplify complex numbers a + bi (i² = −1),複數的基本運算,F4,N,na.rational.surd-operate,CP-1.9
na.quad.i-powers,na,Quadratic equations in one unknown,Simplify powers of i using i⁴ = 1,化簡 i 的高次冪,F4,N,na.quad.complex-basic,CP-1.9
na.quad.complex-divide,na,Quadratic equations in one unknown,Divide complex numbers by the conjugate and read real / imaginary parts,複數除法(乘共軛)及讀取實部虛部,F4,N,na.quad.complex-basic,CP-1.9
na.quad.complex-roots,na,Quadratic equations in one unknown,Find complex roots of a quadratic with Δ < 0,求 Δ<0 時的複數根,F4,N,na.quad.complex-basic;na.quad.solve-formula,CP-1.9
na.quad.number-systems,na,Quadratic equations in one unknown,Hierarchy of the number systems up to the complex numbers,數系的層次(直至複數),F4,F,na.rational.classify,CP-1.8
na.func.concept,na,Functions and graphs,Function notation / domain / co-domain / dependent and independent variables,函數記號、定義域、對應域,F4,F,,CP-2.1
na.func.evaluate,na,Functions and graphs,Evaluate f(a) and f(expression),求函數值 f(a)、f(g(x)) 型代入,F4,F,na.func.concept;na.algexp.substitute,CP-2.2
na.func.quadratic-graph,na,Functions and graphs,Sketch y = ax² + bx + c: direction / intercepts / axis / vertex,二次函數圖像的特徵,F4,F,na.quad.solve-factor,CP-2.3
na.func.vertex-form,na,Functions and graphs,Find max / min by completing the square into a(x − h)² + k,以配方法求最大 / 最小值,F4,N,na.quad.complete-square,CP-2.4
na.func.optimise-word,na,Functions and graphs,Optimise a quantity modelled by a quadratic,二次函數最值應用題,F4,N,na.func.vertex-form,CP-2.4
na.func.transform-translate,na,More about graphs of functions,Translation of graphs y = f(x) + k and y = f(x + h),圖像平移,F5,N,na.func.quadratic-graph,CP-9.4
na.func.transform-reflect,na,More about graphs of functions,Reflection of graphs y = −f(x) and y = f(−x),圖像反射,F5,N,na.func.quadratic-graph,CP-9.4
na.func.transform-dilate,na,More about graphs of functions,Dilation of graphs y = kf(x) and y = f(kx),圖像伸縮,F5,N,na.func.quadratic-graph,CP-9.4
na.func.transform-combined,na,More about graphs of functions,Combined transformations and reading them from two graphs,綜合變換及由圖像辨認變換,F5,N,na.func.transform-translate;na.func.transform-reflect;na.func.transform-dilate,CP-9.4
na.func.graph-features,na,More about graphs of functions,Read features of a graph: intercepts / symmetry / turning points / asymptotes,讀取圖像特徵,F5,N,na.func.quadratic-graph,CP-9.1
na.func.solve-by-graph,na,More about graphs of functions,Solve f(x) = k or f(x) = g(x) by reading intersections,以圖像交點解方程,F5,F,na.func.graph-features,CP-9.2
na.func.ineq-by-graph,na,More about graphs of functions,Solve f(x) > k from a graph,以圖像解不等式,F5,F,na.func.solve-by-graph,CP-9.3
na.exp.rational-indices,na,Exponential and logarithmic functions,Laws of rational indices and radical ↔ index form,有理數指數定律及根式互換,F4,N,na.indices.laws,CP-3.1;CP-3.2
na.exp.simplify,na,Exponential and logarithmic functions,Simplify expressions with rational indices,化簡有理指數式,F4,N,na.exp.rational-indices,CP-3.2
na.exp.equation,na,Exponential and logarithmic functions,Solve exponential equations by a common base,以同底解指數方程,F4,N,na.exp.rational-indices,CP-3.5
na.exp.graph,na,Exponential and logarithmic functions,Graph and features of y = aˣ (a > 1 / 0 < a < 1),指數函數圖像,F4,N,na.exp.rational-indices,CP-3.4
na.log.definition,na,Exponential and logarithmic functions,Define log and convert between index and log form,對數定義及與指數式互換,F4,N,na.exp.rational-indices,CP-3.3
na.log.laws,na,Exponential and logarithmic functions,Laws of logarithms (product / quotient / power),對數定律,F4,N,na.log.definition,CP-3.3
na.log.change-base,na,Exponential and logarithmic functions,Change of base,換底公式,F4,N,na.log.laws,CP-3.3
na.log.simplify,na,Exponential and logarithmic functions,Simplify a log expression with the laws,以對數定律化簡,F4,N,na.log.laws,CP-3.3
na.log.equation,na,Exponential and logarithmic functions,Solve logarithmic equations and check domain,解對數方程並檢驗定義域,F4,N,na.log.laws,CP-3.5
na.log.exp-equation,na,Exponential and logarithmic functions,Solve aˣ = b by taking logarithms,取對數解指數方程,F4,N,na.log.laws,CP-3.5
na.log.graph,na,Exponential and logarithmic functions,Graph and features of y = logₐ x and relation to y = aˣ,對數函數圖像及與指數函數的關係,F4,N,na.log.definition;na.exp.graph,CP-3.4
na.log.applications,na,Exponential and logarithmic functions,Applications: Richter scale / decibels / pH / compound growth,對數應用(地震震級、分貝、pH),F4,N,na.log.equation,CP-3.6
na.log.linear-relation,na,Exponential and logarithmic functions,Read y = kxⁿ from a linear relation between log y and log x,由 log y 對 log x 的線性關係得出 y = kxⁿ,F4,,na.log.laws;ms.line.forms,ext
na.log.solve-graph,na,Exponential and logarithmic functions,Solve exponential / log equations graphically,以圖解法解指數 / 對數方程,F4,F,na.exp.graph;na.log.graph,CP-3.4;CP-9.2
na.log.slide-rule,na,Exponential and logarithmic functions,History of logarithm tables / slide rule (concept only),對數表及計算尺(概念),F4,N,na.log.definition,CP-3.7
na.poly.division,na,More about polynomials,Divide a polynomial by a linear / quadratic divisor (long division),多項式長除法,F4,F,na.algexp.poly-mul,CP-4.1
na.poly.division-identity,na,More about polynomials,Use dividend = divisor × quotient + remainder,除法恆等式,F4,F,na.poly.division,CP-4.1
na.poly.remainder-theorem,na,More about polynomials,Remainder theorem,餘式定理,F4,F,na.poly.division-identity;na.func.evaluate,CP-4.2
na.poly.factor-theorem,na,More about polynomials,Factor theorem and its converse,因式定理,F4,F,na.poly.remainder-theorem,CP-4.3
na.poly.find-coefficient,na,More about polynomials,Find unknown coefficients from a given factor / remainder,由因式或餘式求未知係數,F4,F,na.poly.factor-theorem;na.simeq.choose-method,CP-4.2;CP-4.3
na.poly.remainder-quadratic-divisor,na,More about polynomials,Find the remainder on division by a quadratic from two linear remainders,由兩個一次餘數求除以二次式的餘式,F4,F,na.poly.remainder-theorem;na.simeq.choose-method,CP-4.1;CP-4.2
na.poly.factorise-cubic,na,More about polynomials,Factorise a cubic by the factor theorem and division,以因式定理分解三次式,F4,F,na.poly.factor-theorem;na.poly.division,CP-4.3
na.poly.solve-cubic,na,More about polynomials,Solve a cubic equation via a known factor,解三次方程,F4,F,na.poly.factorise-cubic;na.quad.solve-factor,CP-4.3
na.poly.hcf-lcm,na,More about polynomials,H.C.F. and L.C.M. of polynomials,多項式的最大公因式與最小公倍式,F4,N,na.factor.complete,CP-4.4
na.poly.rational-functions,na,More about polynomials,Add / subtract / multiply / divide rational functions,有理函數的四則運算,F4,N,na.algfrac.add-sub;na.poly.hcf-lcm,CP-4.5
na.eqn.lin-quad,na,More about equations,Solve a linear and a quadratic equation simultaneously (algebraically),聯立一次及二次方程(代數法),F5,N,na.simeq.substitution;na.quad.solve-factor,CP-5.2
na.eqn.lin-quad-graph,na,More about equations,Solve a linear and a quadratic equation simultaneously (graphically),聯立一次及二次方程(圖解法),F5,N,na.func.quadratic-graph,CP-5.1
na.eqn.line-parabola-intersect,na,More about equations,Number of intersections of a line and a parabola via the discriminant,以判別式判斷直線與拋物線的交點數目,F5,F,na.eqn.lin-quad;na.quad.discriminant,CP-5.2;CP-1.5
na.eqn.fractional,na,More about equations,Solve fractional equations reducible to quadratic (check for extraneous roots),解可化為二次的分式方程並檢驗增根,F5,N,na.algfrac.equation;na.quad.solve-factor,CP-5.3
na.eqn.radical,na,More about equations,Solve radical equations by squaring (check for extraneous roots),解根式方程並檢驗增根,F5,N,na.quad.solve-factor;na.rational.surd-operate,CP-5.3
na.eqn.exp-log-type,na,More about equations,Solve equations reducible to quadratic via a substitution (4ˣ − 3·2ˣ + 2 = 0),以代換化為二次方程,F5,N,na.quad.solve-factor;na.exp.equation,CP-5.3
na.eqn.higher-degree-substitution,na,More about equations,Solve x⁴ − 5x² + 4 = 0 type by substitution,以代換解雙二次方程,F5,N,na.quad.solve-factor,CP-5.3
na.eqn.word,na,More about equations,Set up and solve a problem leading to a non-linear equation,列非線性方程解應用題,F5,N,na.eqn.fractional;na.eqn.lin-quad,CP-5.4
na.eqn.numerical-method,na,More about equations,Approximate a root numerically (bisection / method of trial),數值法(如二分法)求近似根,F5,,na.func.evaluate,ext
na.var.direct,na,Variations,Direct variation: form the equation and find the constant,正變,F4,F,na.formula.substitute,CP-6.1
na.var.inverse,na,Variations,Inverse variation,反變,F4,F,na.var.direct,CP-6.1
na.var.graph,na,Variations,Graphs of direct and inverse variations,正變及反變的圖像,F4,F,na.var.direct;na.var.inverse,CP-6.2
na.var.joint,na,Variations,Joint variation,聯變,F4,F,na.var.direct;na.var.inverse,CP-6.3
na.var.partial,na,Variations,Partial variation (two constants from two conditions),部分變(由兩組條件求兩常數),F4,F,na.var.direct;na.simeq.choose-method,CP-6.3
na.var.percent-change,na,Variations,Percentage change in one variable from a change in another,由一變量的變化求另一變量的百分變化,F4,F,na.var.joint;na.percent.increase-decrease,CP-6.1;CP-6.3
na.var.word,na,Variations,Model a real situation with a variation,以變分模型解應用題,F4,F,na.var.partial,CP-6.1;CP-6.3
na.seq.as-term,na,Arithmetic and geometric sequences and their summations,General term of an arithmetic sequence,等差數列的通項,F5,N,na.algexp.sequence-term,CP-7.1;CP-7.2
na.seq.as-mean,na,Arithmetic and geometric sequences and their summations,Arithmetic mean(s) between two terms,等差中項,F5,N,na.seq.as-term,CP-7.1
na.seq.as-sum,na,Arithmetic and geometric sequences and their summations,Sum of the first n terms of an arithmetic sequence,等差數列前 n 項和,F5,N,na.seq.as-term,CP-7.5
na.seq.gs-term,na,Arithmetic and geometric sequences and their summations,General term of a geometric sequence,等比數列的通項,F5,N,na.indices.laws,CP-7.3;CP-7.4
na.seq.gs-mean,na,Arithmetic and geometric sequences and their summations,Geometric mean(s) between two terms,等比中項,F5,N,na.seq.gs-term,CP-7.3
na.seq.gs-sum,na,Arithmetic and geometric sequences and their summations,Sum of the first n terms of a geometric sequence,等比數列前 n 項和,F5,N,na.seq.gs-term,CP-7.5
na.seq.gs-sum-infinity,na,Arithmetic and geometric sequences and their summations,Sum to infinity of a geometric sequence (|r| < 1),等比數列的無限項和,F5,N,na.seq.gs-sum,CP-7.6
na.seq.identify,na,Arithmetic and geometric sequences and their summations,Decide whether a sequence is arithmetic / geometric / neither,判斷數列類型,F5,N,na.seq.as-term;na.seq.gs-term,CP-7.1;CP-7.3
na.seq.recurrence,na,Arithmetic and geometric sequences,Work with a sequence defined by a recurrence relation (aₙ₊₂ = aₙ₊₁ + aₙ),由遞歸關係求數列的項,F5,,na.simeq.choose-method,ext
na.seq.find-n,na,Arithmetic and geometric sequences and their summations,Find n from a term or a sum condition (may need logs),由項或和的條件求 n,F5,N,na.seq.as-sum;na.seq.gs-sum;na.log.exp-equation,CP-7.2;CP-7.4;CP-7.5
na.seq.word,na,Arithmetic and geometric sequences and their summations,Real-life sequence problems (interest / depreciation / patterns),數列應用題,F5,N,na.seq.find-n,CP-7.7
na.seq.sigma-notation,na,Arithmetic and geometric sequences,Read and write sums in Σ notation,Σ 記號,F5,,na.seq.as-sum,ext
na.ineq.compound,na,Inequalities and linear programming,Solve compound linear inequalities (and / or),解複合線性不等式,F5,F,na.lineineq.solve,CP-8.1
na.ineq.quadratic-algebra,na,Inequalities and linear programming,Solve a quadratic inequality by factorising and sign test,以代數法解二次不等式,F5,N,na.quad.solve-factor,CP-8.3
na.ineq.quadratic-graph,na,Inequalities and linear programming,Solve a quadratic inequality from the graph,以圖像解二次不等式,F5,F,na.func.quadratic-graph,CP-8.2
na.ineq.two-var-region,na,Inequalities and linear programming,Represent a linear inequality in two unknowns as a half-plane,以半平面表示二元一次不等式,F5,N,ms.coord.plot-line,CP-8.4
na.ineq.system-region,na,Inequalities and linear programming,Shade the feasible region of a system of inequalities,標示可行區域,F5,N,na.ineq.two-var-region,CP-8.5
na.ineq.formulate-constraints,na,Inequalities and linear programming,Formulate constraints from a word problem,由應用題列出約束條件,F5,N,na.ineq.system-region;na.algexp.translate,CP-8.6
na.ineq.optimise,na,Inequalities and linear programming,Optimise a linear objective function over a feasible region (vertices / sliding line),在可行區域內求線性目標函數的最值,F5,N,na.ineq.system-region,CP-8.6
na.ineq.integer-solutions,na,Inequalities and linear programming,Handle integer-only solutions in linear programming,線性規劃中的整數解,F5,N,na.ineq.optimise,CP-8.6
# --- Measures, Shape and Space ----------------------------------------------------
ms.circle.chord-perp,ms,Basic properties of circles,Perpendicular from centre bisects chord (and converses),圓心至弦的垂線平分弦(及逆定理),F5,F,ms.pythag.apply,CP-11.1
ms.circle.equal-chords,ms,Basic properties of circles,Equal chords are equidistant from the centre (and converse),等弦與圓心等距,F5,F,ms.circle.chord-perp,CP-11.1
ms.circle.angle-centre,ms,Basic properties of circles,Angle at centre = twice angle at circumference,圓心角是圓周角的兩倍,F5,F,ms.angles.isosceles,CP-11.2
ms.circle.semicircle,ms,Basic properties of circles,Angle in a semicircle is a right angle (and converse),半圓上的圓周角,F5,F,ms.circle.angle-centre,CP-11.2
ms.circle.same-segment,ms,Basic properties of circles,Angles in the same segment are equal (and converse),同弓形內的圓周角,F5,F,ms.circle.angle-centre,CP-11.2
ms.circle.arc-angle,ms,Basic properties of circles,Arcs / chords proportional to angles at centre / circumference,弧、弦與角的關係,F5,F,ms.circle.angle-centre,CP-11.1;CP-11.2
ms.circle.cyclic-quad-opp,ms,Basic properties of circles,Opposite angles of a cyclic quadrilateral are supplementary,圓內接四邊形對角互補,F5,F,ms.circle.same-segment,CP-11.3
ms.circle.cyclic-quad-ext,ms,Basic properties of circles,Exterior angle of a cyclic quadrilateral,圓內接四邊形的外角,F5,F,ms.circle.cyclic-quad-opp,CP-11.3
ms.circle.concyclic-test,ms,Basic properties of circles,Tests for concyclic points,共圓點的判定,F5,N,ms.circle.same-segment;ms.circle.cyclic-quad-opp,CP-11.4
ms.circle.tangent-perp,ms,Basic properties of circles,Tangent ⊥ radius at the point of contact (and converse),切線垂直半徑,F5,N,ms.pythag.apply,CP-11.5
ms.circle.tangent-external,ms,Basic properties of circles,Tangents from an external point are equal,由外點作的切線相等,F5,N,ms.circle.tangent-perp;ms.congr.use,CP-11.5
ms.circle.alt-segment,ms,Basic properties of circles,Angle in the alternate segment (tangent-chord angle) and converse,弦切角,F5,N,ms.circle.tangent-perp;ms.circle.same-segment,CP-11.5
ms.circle.tangent-secant,ms,Basic properties of circles,Tangent-secant relation CD² = AD × BD via similar triangles,以相似三角形得出切割線關係 CD² = AD·BD,F5,N,ms.circle.alt-segment;ms.similar.ratio-length,CP-11.5;CP-11.6
ms.circle.angle-chase,ms,Basic properties of circles,Multi-step angle chasing in a circle with reasons,圓內多步求角並寫理由,F5,F,ms.circle.cyclic-quad-opp;ms.circle.alt-segment,CP-11.2;CP-11.3
ms.circle.prove,ms,Basic properties of circles,Prove a geometric statement using circle properties,以圓的性質作證明,F5,N,ms.circle.angle-chase;ms.deduct.proof-writing,CP-11.6
ms.circle.incircle-circumcircle,ms,Basic properties of circles,Incircle / circumcircle / inscribed and circumscribed figures,內切圓與外接圓,F5,N,ms.circle.tangent-external;ms.deduct.centres,CP-11.5;KS3-24.2
ms.locus.describe,ms,Loci,Describe the locus of a point satisfying a condition (in words),用文字描述軌跡,F5,F,,CP-12.1;CP-12.2
ms.locus.sketch,ms,Loci,Sketch loci: fixed distance from a point / line / two points / two lines,繪畫常見軌跡,F5,F,ms.locus.describe,CP-12.2
ms.locus.equation,ms,Loci,Find the equation of a locus in the coordinate plane,求軌跡的方程,F5,F,ms.coordgeo.distance;ms.locus.describe,CP-12.3
ms.locus.identify-equation,ms,Loci,Identify the type of locus from its equation (line / circle / parabola),由方程辨認軌跡類型,F5,F,ms.locus.equation;ms.line.circle-general,CP-12.3
ms.line.forms,ms,Equations of straight lines,Point-slope / slope-intercept / two-point / intercept forms,直線方程的各種形式,F4,F,ms.coordgeo.slope,CP-10.1
ms.line.general-form,ms,Equations of straight lines,General form Ax + By + C = 0 and reading slope / intercepts,直線一般式及讀取斜率截距,F4,F,ms.line.forms,CP-10.1
ms.line.special,ms,Equations of straight lines,Horizontal / vertical lines and lines through the origin,水平線、垂直線及過原點的直線,F4,F,ms.line.forms,CP-10.1
ms.line.parallel-perp-equation,ms,Equations of straight lines,Equation of a line parallel / perpendicular to a given line,平行或垂直於已知直線的方程,F4,F,ms.line.forms;ms.coordgeo.parallel-perp,CP-10.1
ms.line.intersection,ms,Equations of straight lines,Intersection of two lines by solving simultaneously,兩直線的交點,F4,F,na.simeq.choose-method,CP-10.2
ms.line.number-of-intersections,ms,Equations of straight lines,Parallel / intersecting / coincident lines from coefficients,由係數判斷兩直線的位置關係,F4,F,ms.line.general-form,CP-10.2
ms.line.perp-bisector,ms,Equations of straight lines,Equation of a perpendicular bisector,垂直平分線的方程,F4,F,ms.line.parallel-perp-equation;ms.coordgeo.midpoint,CP-10.1;CP-12.3
ms.line.distance-point-line,ms,Equations of straight lines,Distance from a point to a line (via foot of perpendicular),點到直線的距離,F4,,ms.line.intersection;ms.coordgeo.distance,ext
ms.line.circle-standard,ms,Equations of circles,Standard form (x − h)² + (y − k)² = r²,圓的標準式,F5,F,ms.coordgeo.distance,CP-13.1
ms.line.circle-general,ms,Equations of circles,General form x² + y² + Dx + Ey + F = 0: centre and radius,圓的一般式:求圓心及半徑,F5,F,ms.line.circle-standard;na.quad.complete-square,CP-13.1
ms.line.circle-nature,ms,Equations of circles,Real / point / imaginary circle from the radius expression,由半徑判斷圓的性質,F5,F,ms.line.circle-general,CP-13.1
ms.line.circle-from-conditions,ms,Equations of circles,Equation of a circle from three points / diameter endpoints / tangency,由條件求圓的方程,F5,F,ms.line.circle-general;na.simeq.choose-method,CP-13.1
ms.line.point-circle-position,ms,Equations of circles,Position of a point relative to a circle,點與圓的位置關係,F5,F,ms.line.circle-general,CP-13.1
ms.line.line-circle-intersect,ms,Equations of circles,Intersection of a line and a circle (substitution then discriminant),直線與圓的交點,F5,N,na.eqn.lin-quad;na.quad.discriminant,CP-13.2
ms.line.tangent-to-circle,ms,Equations of circles,Equation of a tangent to a circle at a point / from an external point,圓的切線方程,F5,N,ms.line.line-circle-intersect;ms.circle.tangent-perp,CP-13.2
ms.line.chord-properties-coord,ms,Equations of circles,Chord length / mid-point of chord using coordinate methods,以坐標法處理弦,F5,F,ms.line.line-circle-intersect;ms.circle.chord-perp,CP-13.1;CP-11.1
ms.trig.unit-circle,ms,More about trigonometry,Trig ratios of any angle via the unit circle / CAST,任意角的三角比(單位圓 / CAST),F4,F,ms.trig.ratios,CP-14.1
ms.trig.related-angles,ms,More about trigonometry,Ratios of 180° ± θ / 360° − θ / 90° ± θ,相關角的三角比,F4,F,ms.trig.unit-circle,CP-14.1
ms.trig.graphs,ms,More about trigonometry,Graphs of sin / cos / tan: period / amplitude / max-min,三角函數圖像:周期、振幅、最值,F4,F,ms.trig.unit-circle,CP-14.1
ms.trig.graph-transform,ms,More about trigonometry,Graphs of a sin(bx) + c type,y = a sin(bx) + c 型圖像,F5,F,ms.trig.graphs;na.func.transform-combined,CP-14.1;CP-9.4
ms.trig.equation,ms,More about trigonometry,Solve trig equations in 0° ≤ θ ≤ 360°,解 0°–360° 內的三角方程,F4,N,ms.trig.related-angles,CP-14.2
ms.trig.equation-quadratic,ms,More about trigonometry,Solve trig equations reducible to quadratic,解可化為二次的三角方程,F5,N,ms.trig.equation;na.quad.solve-factor,CP-14.2;CP-5.3
ms.trig.identity-prove,ms,More about trigonometry,Prove a trigonometric identity,證明三角恆等式,F5,F,ms.trig.identities-basic;ms.trig.related-angles,CP-14.1
ms.trig.sine-rule,ms,More about trigonometry,Sine rule (incl. the ambiguous case),正弦公式(含兩解情況),F5,N,ms.trig.area-formula,CP-14.4
ms.trig.cosine-rule,ms,More about trigonometry,Cosine rule,餘弦公式,F5,N,ms.trig.ratios,CP-14.4
ms.trig.choose-rule,ms,More about trigonometry,Choose sine rule / cosine rule / area formula for a triangle,選擇正弦、餘弦或面積公式,F5,N,ms.trig.sine-rule;ms.trig.cosine-rule,CP-14.3;CP-14.4
ms.trig.heron,ms,More about trigonometry,Heron's formula,海倫公式,F5,N,ms.trig.area-formula,CP-14.5
ms.trig.2d-applications,ms,More about trigonometry,Bearings / heights with the sine and cosine rules,以正弦餘弦公式解二維應用題,F5,N,ms.trig.choose-rule;ms.trig.bearing,CP-14.9
ms.trig.3d-line-plane,ms,More about trigonometry,Angle between a line and a plane in a 3-D problem,三維問題中線與面的交角,F5,N,ms.trig.choose-rule,CP-14.7;CP-14.9
ms.trig.3d-plane-plane,ms,More about trigonometry,Angle between two planes in a 3-D problem,三維問題中兩平面的交角,F5,N,ms.trig.choose-rule,CP-14.7;CP-14.9
ms.trig.3d-distance,ms,More about trigonometry,Distances / shortest distance in a 3-D solid,三維立體中的距離,F5,N,ms.pythag.3d;ms.trig.cosine-rule,CP-14.9
ms.trig.3d-projection,ms,More about trigonometry,Projection of a line on a plane,直線在平面上的投影,F5,N,ms.trig.3d-line-plane,CP-14.6
ms.trig.3d-three-perpendiculars,ms,More about trigonometry,Theorem of three perpendiculars,三垂線定理,F5,N,ms.trig.3d-projection,CP-14.8
# --- Data Handling ----------------------------------------------------------------
dh.perm.counting-principle,dh,Permutations and combinations,Addition and multiplication principles of counting,加法及乘法原理,F5,N,dh.prob.listing,CP-15.1
dh.perm.factorial,dh,Permutations and combinations,Factorial notation,階乘,F5,N,dh.perm.counting-principle,CP-15.2
dh.perm.permutation,dh,Permutations and combinations,Permutations P(n r) of distinct objects,排列,F5,N,dh.perm.factorial,CP-15.2;CP-15.3
dh.perm.permutation-restriction,dh,Permutations and combinations,Permutations with restrictions (adjacent / not adjacent / fixed positions),有限制條件的排列,F5,N,dh.perm.permutation,CP-15.3
dh.perm.combination,dh,Permutations and combinations,Combinations C(n r),組合,F5,N,dh.perm.permutation,CP-15.4;CP-15.5
dh.perm.combination-restriction,dh,Permutations and combinations,Combinations with restrictions (at least / at most / must include),有限制條件的組合,F5,N,dh.perm.combination,CP-15.5
dh.perm.distinguish,dh,Permutations and combinations,Decide whether order matters (P vs C),判斷排列或組合,F5,N,dh.perm.permutation;dh.perm.combination,CP-15.3;CP-15.5
dh.prob2.set-notation,dh,More about probability,Sample space / events / complement / union / intersection (set language),樣本空間、事件、補集、並集、交集,F5,N,dh.prob.definition,CP-16.1
dh.prob2.addition-law,dh,More about probability,Addition law P(A ∪ B) = P(A) + P(B) − P(A ∩ B),加法定律,F5,N,dh.prob2.set-notation,CP-16.2
dh.prob2.mutually-exclusive,dh,More about probability,Mutually exclusive events,互斥事件,F5,N,dh.prob2.addition-law,CP-16.2
dh.prob2.complementary,dh,More about probability,Complementary events P(A') = 1 − P(A),互補事件,F5,N,dh.prob2.set-notation,CP-16.2
