# Learning Objectives of the EDB Mathematics C&A Guide (S4-6, 2017): Compulsory Part
# (CP), Module 1 (M1), Module 2 (M2), and of the Supplement on the learning content
# of junior secondary Mathematics (2017; KS3). Extracted from docs/CA_2017_e.pdf and
# docs/jsmc2017_e.pdf by scripts/extract_guide_objectives.py; formulas the PDFs draw
# as images are missing from text and remarks. obj = objective number (a Further
# Learning Unit has one unnumbered objective, given its unit number); nf = blank for
# a Foundation Topic, N = Non-foundation (underlined in the Guide), E = Enrichment
# (** in the KS3 Supplement); time = suggested hours for the unit; page = PDF page.
part,strand,unit_no,unit,obj,nf,time,text,remarks,page
M2,Foundation Knowledge,4,More about trigonometric functions,4.2,,,"understand the functions cosecant, secant and cotangent",The formulae that students are required to use include: and Simplifying trigonometric expressions by identities is required.,69
M2,Foundation Knowledge,4,More about trigonometric functions,4.3,,,"understand compound angle formulae and double angle formulae for the functions sine, cosine and tangent, and product-to-sum and sum-to-product formulae for the functions sine and cosine",The formulae include:     sin 2A= 2 sin Acos A 2 2  cos 2A= cosA sin A 2 2 = 1  2 sinA= 2 cosA 1  tan 2A= 2  sin A= (1  cos 2A) 2  cosA= (1 + cos 2A)        “Subsidiary angle form” is not required. 2 sin A= (1  cos 2A) and 2 cosA= (1 + cos 2A) can be considered as formulae derived from the double angle formulae. Two approaches for the introduction to e can,69
M2,Foundation Knowledge,5,Introduction to e,5.1,,2,recognise the definitions and notations of eand the natural logarithm,be considered:  (proving the existence of this limit is not required)  These definitions may be introduced in Learning Objective 6.1.,71
M2,Calculus,6,Limits,6.1,,3,understandthe intuitive concept of the limit of a function,"Student are required to recognise the theorems on the limits of sum, difference, product, quotient, scalar multiplication of functions and the limits of composite functions (the proofs are not required).",72
M2,Calculus,6,Limits,6.2,,,find the limit of a function,The formulae that students are required to use include:   Finding the limit of a rational function at infinity is required.,72
M2,Calculus,7,Differentiation,7.1,,13,understand the concept of the derivative of a function,"Students are required to find the derivatives of elementary functions from first principles, for example: C , (n is a positive integer), , , , andln x. Students are required to recognise the notations: , and . Testing differentiability of functions is not required.",73
M2,Calculus,7,Differentiation,7.2,,,"understand the addition rule, product rule, quotient rule and chain rule of differentiation",The rules include:,73
M2,Calculus,7,Differentiation,7.3,,,"find the derivatives of functions involving algebraic functions, trigonometric functions, exponential functions and logarithmic functions","The formulae that students are required to use include: The following algebraic functions are required: polynomial functions rational functions  power functions x functions formed from the above functions through addition, subtraction, multiplication, division and composition, such as",74
M2,Calculus,7,Differentiation,7.4,,,find derivatives by implicit differentiation,Logarithmic differentiation is required.,75
M2,Calculus,7,Differentiation,7.5,,,find the secondderivative of an explicit function,"Students are required to recognise the notations: , and . Students are required to recognise the second derivative test and concavity. Third and higher order derivatives are not required.",75
M2,Calculus,8,Applications of differentiation,8.1,,14,find the equations of tangents to a curve,,75
M2,Calculus,8,Applications of differentiation,8.2,,,find the maximum and minimum values of a function,Local and global extrema are required.,75
M2,Calculus,8,Applications of differentiation,8.3,,,sketch curves of polynomial functions and rational functions,"The following points should be considered in curve sketching:  symmetry of the curve  limitations on the values of xand y  intercepts with the axes  maximum and minimum points  points of inflexion  vertical, horizontal andobliqueasymptotes to the curve Students are required to deduce the equation of the oblique asymptote to the curve of a rational function by division.",75
M2,Calculus,8,Applications of differentiation,8.4,,,"solve the problems relating to rate of change, maximum and minimum",,76
M2,Calculus,9,Indefinite integration and its applications,9.1,,15,recognise the concept of indefinite integration,Indefinite integration as the reverse process of differentiation should be introduced.,76
M2,Calculus,9,Indefinite integration and its applications,9.2,,,"understand the properties of indefinite integrals and use the integration formulae of algebraic functions, trigonometric functions and exponential functions to find indefinite integrals",The formulae include:       ,76
M2,Calculus,9,Indefinite integration and its applications,9.3,,,understand the applications of indefinite integrals in mathematical contexts,Applications of indefinite integrals in some fields such as geometry is required.,77
M2,Calculus,9,Indefinite integration and its applications,9.4,,,use integration by substitution to find indefinite integrals,,77
M2,Calculus,9,Indefinite integration and its applications,9.5,,,"use trigonometric substitutions to find the indefinite integrals involving , or","Students are required to recognise the 1 1 1 notations: sin x , cos x and tan x , and the concept of their related principal values.",77
M2,Calculus,9,Indefinite integration and its applications,9.6,,,useintegration by parts to find indefinite integrals,Teachers can use as an example to illustrate the method of integration by parts. The use of integration by parts is limited to at most two times in finding an integral.,77
M2,Calculus,10,Definite integration,10.1,,10,recognise the concept of definite integration,"The definite integral as the limit of a sum and finding a definite integral from the definition should be introduced. The concept of dummy variables is required, for example, . Using definite integration to find the sum to infinity of a sequence is not required.",78
M2,Calculus,10,Definite integration,10.2,,,understand the properties of definite integrals,The properties include:       if is an odd function  if is an even function,78
M2,Calculus,10,Definite integration,10.3,,,"find definite integrals of algebraic functions, trigonometric functions and exponential functions","The Fundamental Theorem of Calculus that students are required to recognise is: , where .",79
M2,Calculus,10,Definite integration,10.4,,,use integration by substitution to find definite integrals,,79
M2,Calculus,10,Definite integration,10.5,,,use integration by parts to find definite integrals,The use of integration by parts is limited to at most two times in finding an integral.,79
M2,Calculus,11,Applications of definite integration,11.1,,4,understand the application of definite integrals in finding the area of a plane figure,,79
M2,Calculus,11,Applications of definite integration,11.2,,59,understand the application of definite integrals in finding the volume of a solid of revolution about a coordinate axis or a line parallel to a coordinate axis,“Disc method” is required.,80
M2,Algebra,12,Determinants,12.1,,2,recognise the concept of determinants of order 2 and order 3,Students are required to recognise the notations: |A| and det A.,80
M2,Algebra,13,Matrices,13.1,,10,"understand the concept, operations and properties of matrices","The addition, scalar multiplication and multiplication of matrices are required. The properties include:         ",80
M2,Algebra,13,Matrices,13.2,,,"understand the concept, operations and properties of inverses of square matrices of order 2 and order 3",The properties include:  the inverse ofAis unique       where A and B are invertible matrices and  is a non-zero scalar.,81
M2,Algebra,14,Systems of linear equations,14.1,,6,"solve the systems of linear equations in two and three variables by Cramer’s rule, inverse matrices and Gaussian elimination",The following theorem is required: A system of homogeneous linear equations has nontrivial solutions if and only if the coefficient matrix is singular,82
M2,Algebra,15,Introduction to vectors,15.1,,5,understand the concepts of vectors and scalars,"The concepts of magnitudes of vectors, zero vector and unit vectors are required. Students are required to recognise some common notations of vectors in printed form (including a and ) and in written form (including , and ) ; and some notations for magnitude (including and ).",82
M2,Algebra,15,Introduction to vectors,15.2,,,understand the operations and properties of vectors,"The addition, subtraction and scalar multiplication of vectors are required. The properties include:         If (a and b are non-zero and are not parallel to each other), then and The formulae that students are required to use",82
M2,Algebra,15,Introduction to vectors,15.3,,,understand the representation of a vector in the rectangular coordinate system,include: 3  in R  and 2 in R The representation of vectors in the rectangular coordinate system can be used to discuss those properties listed in the Remarks against Learning Objective 15.2. The concept of direction cosines is not required.,83
M2,Algebra,16,Scalar product and vector product,16.1,,5,understand the definition and properties of the scalar product (dot product) of vectors,The properties include:      if and only if  ,84
M2,Algebra,16,Scalar product and vector product,16.2,,,understand the definition and properties of the 3 vector product (cross product) of vectors in R,The properties include:      ,84
M2,Algebra,17,Applications of vectors,17.1,,6,understand the applications of vectors,"Division of a line segment, parallelism and orthogonality are required. Finding angles between two vectors, the projection of a vector onto another vector and the area of a triangle are required.",85
M2,Further Learning Unit,18,Inquiry and investigation,18,,7,"Through various learning activities, discover and construct knowledge, further improve the ability to inquire, communicate, reason and conceptualise mathematical concepts",This is not an independent and isolated learning unit. The time is allocated for students to engage in learning activities from different learning units.,85
KS3,Number and Algebra Strand,1,Basic computation,1.1,,8,"recognisethe tests of divisibility of 4, 6, 8 and 9","At Key Stage 2, students are required to recognise the tests of divisibilityof 2, 3, 5 and 10.",6
KS3,Number and Algebra Strand,1,Basic computation,1.2,,,understand the concept of power,Computations involving powers are not required.,7
KS3,Number and Algebra Strand,1,Basic computation,1.3,,,perform prime factorisation of positive integers,,7
KS3,Number and Algebra Strand,1,Basic computation,1.4,,,find the greatest common divisor and the least common multiple,"Students are required to use prime factorisation and short division to find the greatest common divisor and the least common multiple. At Key Stage 2, students are required to find the greatest common divisor and the least common multiple of two numbersby listing their multiples and factors, and using short division. The terms “H.C.F.”, “gcd”, etc. can be used.",7
KS3,Number and Algebra Strand,1,Basic computation,1.5,,,perform mixed arithmetic operations of positive integers involving multiple levels of brackets,,7
KS3,Number and Algebra Strand,1,Basic computation,1.6,,,perform mixed arithmetic operations of fractions and decimals,"At Key Stage 2, students are required to perform mixed arithmetic operations of three numbers (including fractions and integers). In the mixed operations of addition and subtraction involving three fractions with different denominators, all denominators should not exceed 12. The above restrictions are no longer applicable at Key Stage 3, but complicated operations should be avoided. Note: Teachers are suggested to arrange this learning unit as the first one to be taught at this key stage.",8
KS3,Number and Algebra Strand,2,Directed numbers,2.1,,9,understand the concept of directed numbers,Students are required to represent the directed numbers on thenumber line. Students are required to compare the magnitude of directed numbers.,8
KS3,Number and Algebra Strand,2,Directed numbers,2.2,,,perform mixed arithmetic operations of directed numbers,,9
KS3,Number and Algebra Strand,2,Directed numbers,2.3,,,solve problems involving directed numbers,,9
KS3,Number and Algebra Strand,3,Approximate values and numerical estimation,3.1,,6,recognise the concept of approximate values,"Students are required to round offa number to a certain number of significant figures, a certain place and a certain number of decimal places. At Key Stage 2, students are required to round off a whole number to a certain place and round off a decimal to the nearest tenths or hundredths.",9
KS3,Number and Algebra Strand,3,Approximate values and numerical estimation,3.2,,,understand the estimation strategies,"The estimation strategies include rounding off, rounding up and rounding down.",9
KS3,Number and Algebra Strand,3,Approximate values and numerical estimation,3.3,,,solve related real-life problems,,9
KS3,Number and Algebra Strand,3,Approximate values and numerical estimation,3.4,E,,design numerical estimation strategies according to the contexts and judge the reasonableness ofthe results obtained,,10
KS3,Number and Algebra Strand,4,Rational and irrational numbers,4.1,,7,recognise the concept of nth root,Computations involving nth roots are not required. Students are required to evaluate expressions such as .,10
KS3,Number and Algebra Strand,4,Rational and irrational numbers,4.2,,,recognise the concepts of rational and irrational numbers,Students are required to represent rational and irrational numberson the number line.,10
KS3,Number and Algebra Strand,4,Rational and irrational numbers,4.3,N,,perform mixed arithmetic operationsof simple quadratic surds,"In the simple quadratic surds , a is a rational number, b is a positive rational number and is an irrational number. The computations such as the following examples are required:   The complicated mixed arithmetic operations are not required, for example, .",10
KS3,Number and Algebra Strand,4,Rational and irrational numbers,4.4,E,,explore the relation between constructible numbersand rational and irrational numbers,,11
KS3,Number and Algebra Strand,5,Using percentages,5.1,,15,understand the concept of percentage changes,Percentage increase and percentage decreaseare required. Percentage change can also be called “percentage of change”.,11
KS3,Number and Algebra Strand,5,Using percentages,5.2,,,solve related real-life problems,"The problems include those about discount and profit or loss, growth and depreciation, simple and compound interests, successive and component changes, and salariestax.",12
KS3,Number and Algebra Strand,6,"Rates, ratios and proportions",6.1,,8,"understand the concepts of rates, ratios and proportions",Direct and inverse proportionsare required.,12
KS3,Number and Algebra Strand,6,"Rates, ratios and proportions",6.2,,,"solve problems involving rates, ratios and proportions",Students are required to solve problems about plans involving scales. Problems involving similar figures are tackled in Learning Objectives 18.3 and 22.3. Teachers may consider using real -life examples or related learning elements in Science Education or Technology Education KLAs to enhance learning and teaching.,12
KS3,Number and Algebra Strand,7,Algebraic expressions,7.1,,7,represent word phrasesby algebraic expressions,"Notations such as ab representing a  b, representing a ÷ b, are required. Students are required to use algebraic expressions to represent formulae, for example, the formula of the area of a triangle that waslearnt atKey Stage 2.",13
KS3,Number and Algebra Strand,7,Algebraic expressions,7.2,,,represent algebraic expressions by word phrases,,13
KS3,Number and Algebra Strand,7,Algebraic expressions,7.3,,,recognise the concept of sequences of numbers,"Students are required to guess the next term of a sequence and give explanations. Students are required to find a particular term from the general term of a sequence. Sequences of odd numbers, even numbers, square numbers, and triangular numbers are required.",13
KS3,Number and Algebra Strand,7,Algebraic expressions,7.4,,,recognise the preliminary idea of functions,"The concept of input-processing-output is required. Note: The algebraic expressions discussed in this Learning Unit are confined to expressions involving addition, subtraction, multiplication, division and powers of numbers or variables.",14
KS3,Number and Algebra Strand,8,Linear equations in one unknown,8.1,,7,solve linear equations in one unknown,,14
KS3,Number and Algebra Strand,8,Linear equations in one unknown,8.2,,,formulate linear equations in one unknown from a problem situation,,14
KS3,Number and Algebra Strand,8,Linear equations in one unknown,8.3,,,solve problems involving linear equations in one unknown,,14
KS3,Number and Algebra Strand,9,Linear equations in two unknowns,9.1,,12,understand the conceptof linear equations in two unknownsand their graphs,Students should understand:  the graph of a linear equation in two unknowns is a straight line  thecoordinates of every point lying on a straight line satisfy thecorresponding linear equation in two unknowns  the coordinates of every point not lying on a straight line do not satisfy the corresponding linear equation in two unknowns,14
KS3,Number and Algebra Strand,9,Linear equations in two unknowns,9.2,,,solve simultaneous linear equations in two unknowns by the graphical method,Students are required to recognisethat the exact values of the solutions may not be obtained by the graphical method.,15
KS3,Number and Algebra Strand,9,Linear equations in two unknowns,9.3,,,solve simultaneous linear equations in two unknowns by the algebraic methods,The algebraic methodsinclude substitution and elimination. The simultaneousequations include those with:  no solutions  only one solution  more than one solution,15
KS3,Number and Algebra Strand,9,Linear equations in two unknowns,9.4,,,formulate simultaneouslinear equations in two unknowns from a problem situation,,16
KS3,Number and Algebra Strand,9,Linear equations in two unknowns,9.5,,,solve problems involving simultaneous linear equations in two unknowns,,16
KS3,Number and Algebra Strand,10,Laws of integral indices,10.1,,,understand the laws ofpositive integralindices,The laws of positive integral indices include: p q p + q  a a = a p q   = a p q pq  (a ) = a p p p  a b = (ab) ,16
KS3,Number and Algebra Strand,10,Laws of integral indices,10.2,,,understand the definitions of zero exponent and negative exponents,,17
KS3,Number and Algebra Strand,10,Laws of integral indices,10.3,,,understand the laws of integral indices,The above laws of positive integralindices also apply to integral indices.,17
KS3,Number and Algebra Strand,10,Laws of integral indices,10.4,,,understand scientific notations,Teachers may consider using r eal-life examples or related learning elements in Science Educationor Technology Education KLAs to enhance learning and teaching.,17
KS3,Number and Algebra Strand,10,Laws of integral indices,10.5,N,,understand the binary number system and the denary number system,Interconversion between binary numbers and denary numbers is required. Teachers may consider using r eal-life examples or related learning elements in Science Educationor Technology Education KLAs to enhance learning and teaching.,17
KS3,Number and Algebra Strand,10,Laws of integral indices,10.6,E,,"understandother numeral systems, such as the hexadecimal number system",,17
KS3,Number and Algebra Strand,11,Polynomials,11.1,,15,understand the concept of polynomials,"Students are required to understand the concepts of terms, monomials, binomials, orders, powers, constant terms, like terms, unlike terms and coefficients. Students are required to arrange the terms of a polynomial in ascending order or descending order.",18
KS3,Number and Algebra Strand,11,Polynomials,11.2,,,"perform addition, subtraction, multiplication and their mixed operationsof polynomials",The operations of polynomials involving more than one variableare required.,18
KS3,Number and Algebra Strand,11,Polynomials,11.3,,,factorise polynomials,Students are required to understand that factorisation can be regarded as a reverse process of expansion of polynomials. The following methods are required:  extracting common factors (and grouping of terms)  cross-method,18
KS3,Number and Algebra Strand,12,Identities,12.1,,8,understand the concept of identities,"Students are required to understand the differences between equations and identities, and to proveidentities.",19
KS3,Number and Algebra Strand,12,Identities,12.2,,,use identities to expand algebraic expressions,The identities include:  Differenceof two squares 2 2 (a  b)(a + b)  a  b  Perfect square 2 2 2 (a  b)  a  2ab + b,19
KS3,Number and Algebra Strand,12,Identities,12.3,,,use identities to factorise polynomials,The identities include:  Differenceof two squares 2 2 a  b  (a  b)(a + b)  Perfect square 2 2 2 a  2ab + b  (a  b),19
KS3,Number and Algebra Strand,13,Formulae,13.1,,9,perform operations of algebraic fractions,Algebraic fractions are confined to those having denominators as products of linear factors.,20
KS3,Number and Algebra Strand,13,Formulae,13.2,,,usesubstitution to find the values of unknowns in the formulae,,20
KS3,Number and Algebra Strand,13,Formulae,13.3,,,change the subject of formulae not involving radical signs,Note:Teachers may consider using real-life examples or related learning elements in Science Education or Technology Education KLAs to enhance learning and teaching.,20
KS3,Number and Algebra Strand,14,Linear inequalities in one unknown,14.1,,6,understand the concept of inequalities,"The following are required:  use inequalities to represent word phrases  represent the following inequalities on the number line: x > a, x ≥ a, x < a, x≤ a",20
KS3,Number and Algebra Strand,14,Linear inequalities in one unknown,14.2,,,recognisethe basic properties of inequalities,"The properties include  if a > b and b > c,then a > c  if a > b, then a  c> b  c  if a > b and cis positive, then ac> bc and  if a > b and cis negative, then ac< bc and where “>” and “<” in the above properties can be replaced by “≥”and “≤”respectively.",21
KS3,Number and Algebra Strand,14,Linear inequalities in one unknown,14.3,,,solve linear inequalities in one unknown,Students are required to represent solutions of inequalities on the number line.,21
KS3,Number and Algebra Strand,14,Linear inequalities in one unknown,14.4,,,solve problems involving linear inequalities in one unknown,,21
KS3,"Measures, Shape and Space Strand",15,Errors in measurement,15.1,,6,recognise the concept of errors in measurement,,22
KS3,"Measures, Shape and Space Strand",15,Errors in measurement,15.2,,,"recognise the concepts of maximum absolute errors, relative errors and percentage errors",,22
KS3,"Measures, Shape and Space Strand",15,Errors in measurement,15.3,,,solve problems related toerrors,,22
KS3,"Measures, Shape and Space Strand",15,Errors in measurement,15.4,E,,design estimation strategies in measurement according to the contexts and judge the reasonablenessof the results obtained,,22
KS3,"Measures, Shape and Space Strand",16,Arc lengths and areas of sectors,16.1,,8,understand the formula for arc lengthsof circles,Students are required to understand the property that the arcs are proportional to their corresponding angles at the centre.,22
KS3,"Measures, Shape and Space Strand",16,Arc lengths and areas of sectors,16.2,,,understand the formula for areas of sectors of circles,“Find the diameter or radius of a circle from its area” is not required in the primary Mathematics curriculum.,22
KS3,"Measures, Shape and Space Strand",16,Arc lengths and areas of sectors,16.3,,,solve problems related toarc lengthsand areas of sectors of circles,The problems on finding perimeters and areas of composite figures are required.,23
KS3,"Measures, Shape and Space Strand",16,Arc lengths and areas of sectors,16.4,E,,recognise the Circle Dissection Algorithm of the ancient Chinese mathematician Liu Hui and further recognise Huilu and Tsulu (approximations of ),,23
KS3,"Measures, Shape and Space Strand",17,3-D figures,17.1,,5,"recognise the concepts of right prisms, right circular cylinders, right pyramids, right circular cones, regular prisms, regular pyramids, polyhedra and spheres",Students are required to recognise the concept of regular tetrahedra.,23
KS3,"Measures, Shape and Space Strand",17,3-D figures,17.2,,,"recognise the sections of prisms, circular cylinders, pyramids, circular cones, polyhedra and spheres","Students are required to recognise:  different sections of the 3-D figure can have different sizes and shapes  the concept of uniform crosssections At Key Stage 2, students are required to recognise that the sizes and shapes of the cross sections of prisms and cylinders are the same as that of the bases if they are parallel to the bases, but the term “uniform cross sections” isnot introduced.",23
KS3,"Measures, Shape and Space Strand",17,3-D figures,17.3,,,sketch the 2-D representationsof 3-D figures,"Students are required to sketch the 2-D representations of right prisms, right circular cylinders, right pyramids and right circular cones. Students may use the tools such as oblique grids and isometric grids to learn the sketching of 2-D representations. Three orthographic views of 3-D figures are not required.",24
KS3,"Measures, Shape and Space Strand",17,3-D figures,17.4,E,,recognise the three orthographic views of 3-D figures,,24
KS3,"Measures, Shape and Space Strand",17,3-D figures,17.5,E,,recognise Euler’s formula and explore the number of regular polyhedra(Platonic solids),,24
KS3,"Measures, Shape and Space Strand",18,Mensuration,18.1,,15,"recognise the formulae for volumes of prisms, circular cylinders, pyramids, circular cones and spheres",Students are required to recognise the projection of a point on a plane and the concept of height of a 3-D figure.,25
KS3,"Measures, Shape and Space Strand",18,Mensuration,18.2,,,"find the surface areas of right prisms, right circular cylinders, right pyramids, right circular cones and spheres",Students are required to recognise the formula for surface areas of spheres.,25
KS3,"Measures, Shape and Space Strand",18,Mensuration,18.3,,,"recognise the relations among lengths, areas and volumes of similar figures and solve related problems",Students are required to recognise the concept of similar3-D figures. The conceptof similar 2-D figures is dealt with in Learning Objective 22.3. Students are required to recognisefrustums and solve problems related to their surface areas and volumes.,25
KS3,"Measures, Shape and Space Strand",18,Mensuration,18.4,,,solve problems involving volumes and surface areas,,25
KS3,"Measures, Shape and Space Strand",18,Mensuration,18.5,E,,explore ways to form a container with the greatest capacityby folding an A4-sized paper with squares cutting from its four corners,Note: Students are required to understand 2- D representations of 3-D figures.,26
KS3,"Measures, Shape and Space Strand",19,Angles and parallel lines,19.1,,,"understand the concepts and properties of adjacent angles on a straight line, vertically opposite angles and angles at a point",The properties include:  the sum of adjacent angles on a straight line is equal to a straight angle  vertically opposite angles are equal  the sum of angles at a pointis equal toa round angle Students are required to recognise the concepts of complementary angles and supplementary angles.,26
KS3,"Measures, Shape and Space Strand",19,Angles and parallel lines,19.2,,,"understandthe concepts ofcorresponding angles, alternate interior angles and interior angles",Students are required to recognise transversals.,27
KS3,"Measures, Shape and Space Strand",19,Angles and parallel lines,19.3,,,recognise the conditions for two straight lines being parallel,The conditions include:  alternate interior angles are equal  corresponding angles are equal  interior angles are supplementary,27
KS3,"Measures, Shape and Space Strand",19,Angles and parallel lines,19.4,,,recognise the angle properties associated with parallel lines,The properties include:  alternate interior angles of parallel lines are equal  corresponding angles of parallel lines are equal  interior angles of parallel lines are supplementary,27
KS3,"Measures, Shape and Space Strand",19,Angles and parallel lines,19.5,,,understand the properties of the interior and exterior angles of triangles,The properties include:  the angle sum of a triangle is equal to a straight angle  the exterior angle of a triangle isequal to the sum of the interior opposite angles of the triangle Students are required to recognise the concepts of acute-angled triangles and obtuse-angled triangles.,27
KS3,"Measures, Shape and Space Strand",20,Polygons,20.1,,8,understand the concept of regular polygons,,28
KS3,"Measures, Shape and Space Strand",20,Polygons,20.2,,,understand the formula for the sum of the interior angles of a polygon,,28
KS3,"Measures, Shape and Space Strand",20,Polygons,20.3,,,understand the formula for the sum of the exterior angles of a convex polygon,,28
KS3,"Measures, Shape and Space Strand",20,Polygons,20.4,N,,"appreciatethetriangles, quadrilaterals, and regular polygons that tessellatein the plane",,28
KS3,"Measures, Shape and Space Strand",20,Polygons,20.5,N,,construct equilateral triangles and regular hexagonswith compasses and straightedge,Teachers may let students recognise the basic knowledge of construction with compasses and straightedge. Students may use information technology for construction.,29
KS3,"Measures, Shape and Space Strand",20,Polygons,20.6,E,,explore ways to construct regular pentagons with compasses and straightedge,,29
KS3,"Measures, Shape and Space Strand",21,Congruent triangles,21.1,,14,understand the concept of congruent triangles,,29
KS3,"Measures, Shape and Space Strand",21,Congruent triangles,21.2,,,recognise the conditionsfor congruent triangles,"The conditions include: SAS, SSS, ASA, AAS and RHS.",29
KS3,"Measures, Shape and Space Strand",21,Congruent triangles,21.3,,,understand the property of isosceles triangles,The property refers to: the base angles of an isosceles triangle are equal. Teachers may allow students to recognise the proof of equal base anglesin isosceles triangles by means of SAS.,29
KS3,"Measures, Shape and Space Strand",21,Congruent triangles,21.4,,,understand the conditionfor isosceles triangles,"The condition refers to: if two angles of a triangle are equal, then the triangle is isosceles.",30
KS3,"Measures, Shape and Space Strand",21,Congruent triangles,21.5,N,,"construct angle bisectors, perpendicular bisectors, perpendicular lines, parallel lines, special angles and squareswith compasses and straightedge",Students may use information technology for construction.,30
KS3,"Measures, Shape and Space Strand",21,Congruent triangles,21.6,N,,recognise the concept of congruent 2-D figures,,30
KS3,"Measures, Shape and Space Strand",21,Congruent triangles,21.7,E,,explore the angles that can be constructed with compasses and straightedge,,30
KS3,"Measures, Shape and Space Strand",22,Similar triangles,22.1,,9,understand theconcept of similar triangles,,30
KS3,"Measures, Shape and Space Strand",22,Similar triangles,22.2,,,recognise the conditions for similar triangles,The conditions include：  AAA (AA)  corresponding sides are proportional  two corresponding sides proportional and their included angles equal,30
KS3,"Measures, Shape and Space Strand",22,Similar triangles,22.3,,,recognisethe concept of similar 2-D figures,Students are required to recognise that quadrilaterals with corresponding sides proportional are not necessarily similar.,31
KS3,"Measures, Shape and Space Strand",22,Similar triangles,22.4,E,,explore shapes of fractals,,31
KS3,"Measures, Shape and Space Strand",23,Quadrilaterals,23.1,,13,understand the properties of parallelograms,"The properties include:  opposite sides equal, opposite angles equal and diagonals bisect each other",31
KS3,"Measures, Shape and Space Strand",23,Quadrilaterals,23.2,,,"understand the properties of rectangles, rhombuses and squares",The properties of rectangles include:  all the properties of parallelograms  the two diagonals equal  the diagonals bisect each other into four equal line segments The properties of rhombuses include:  all the properties of parallelograms  the diagonals are perpendicular to each other  the diagonals bisect the opposite angles The properties of squares include:  all the properties of rectangles  all the properties of rhombuses  the diagonals form a 45 with the sides of the squares,31
KS3,"Measures, Shape and Space Strand",23,Quadrilaterals,23.3,N,,understand the conditions for parallelograms,The conditions include:  opposite sides are equal  opposite angles are equal  diagonals bisect each other  there is a pair of sides that are both equal and parallel,32
KS3,"Measures, Shape and Space Strand",23,Quadrilaterals,23.4,N,,use the above properties or conditions to perform simple geometric proofs,,33
KS3,"Measures, Shape and Space Strand",23,Quadrilaterals,23.5,N,,understand the mid-point theorem and the intercept theorem,,33
KS3,"Measures, Shape and Space Strand",23,Quadrilaterals,23.6,E,8,explore the conditions for congruent quadrilaterals,"Note:  Students are required to recognise logical relations such as “squares are figures having four equal sides, but figures having four equal sides are not necessarily squares”.  Teachersmay let students recognise the deductive method in Euclid’s Elements.",33
KS3,"Measures, Shape and Space Strand",24,Centres of triangles,24.1,,,understand the properties of angle bisectors and perpendicular bisectors,"The properties include:  if a point lies on the angle bisector, then it is equidistant from the two sides of the angle, and the converse  if a point lies on the perpendicular bisector of a line segment, then it is equidistant from the two end points of the line segment, and the converse",34
KS3,"Measures, Shape and Space Strand",24,Centres of triangles,24.2,N,,understand the concurrence of angle bisectorsand the concurrenceof perpendicular bisectorsof a triangle,"Students are required to recognise the concepts of the incentre and the circumcentre of a triangle,and the following properties:  the incentre of a triangle is equ idistant from the three sides of the triangle, and a circle inside the triangle can be constructed with this distance as its radius and the incentre as its centre  the circumcentre of a triangle is equidistant from the three vertices of the triangle and a circle passing through the vertices can be constructed with this distance as its radius and the circumcentre as its centre",34
KS3,"Measures, Shape and Space Strand",24,Centres of triangles,24.3,N,,recognise the concurrence of mediansand the concurrence of altitudesof a triangle,Students are required to recognise the conceptsof the centroid and the orthocentre of a triangle. Teachers may use information technology to help students understand the proofs of concurrence of mediansand concurrence of altitudes.,35
KS3,"Measures, Shape and Space Strand",25,Pythagoras’ theorem,25.1,,6,understand the Pythagoras’ theorem,"Teachers may introduce different proofs of Pythagoras’theorem, for example, the proof by the ancient Chinese mathematician Liu Hui and the proof in Euclid’s Elements. Teachers may introduce the Pythagorean school and its related history, including the history of the first mathematical crisis.",35
KS3,"Measures, Shape and Space Strand",25,Pythagoras’ theorem,25.2,,,recognise the converse of Pythagoras’ theorem,Teachers may introduce the proofs of the converse of Pythagoras’theorem.,36
KS3,"Measures, Shape and Space Strand",25,Pythagoras’ theorem,25.3,,,solve problems related to Pythagoras’ theorem and its converse,,36
KS3,"Measures, Shape and Space Strand",25,Pythagoras’ theorem,25.4,E,,explore Pythagorean triples,,36
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.1,,19,recognise the rectangular coordinate system,Students are required to  represent the position of a point by its coordinates  mark the point with given coordinates,36
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.2,,,find the distance between two points on a horizontal line and the distance between two points on a vertical line,,36
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.3,,,find area s of polygon s in the rectangular coordinate plane,,37
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.4,,,recognise the effect of transformationson a point in the rectangular coordinate plane,"Transformationsinclude:  translation  reflection in a line parallel to the x-axis or y-axis  clockwise or anti-clockwise rotation about the origin through , where n is a positive integer",37
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.5,,,understand the distance formula,,37
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.6,N,,understand the mid-point formula and the formula for the internal point of division,,37
KS3,"Measures, Shape and Space Strand",26,Rectangular coordinate system,26.7,,,understand the slope formula and solve related problems,"Students are required to recognise the concept of intercepts. Besides finding slopes, students are required to use the slope formula to find x- coordinates or y-coordinates of points on straight lines, x-interceptsor y-interceptsof straight lines, from given conditions, for example:  given the coordinates of the two points on a straight line, find the x-intercept or y-intercept of the straight line",37
